Nom de la chaîne,Satellite,Fréquence,Polarisation,Symbol Rate,Type Service,Type Vidéo
CHASSE ET PECHE,Astra1,12285,1,29700,0,27
CINE+ CLASSIC,Astra1,12012,1,29700,0,27
CINE+ EMOTION,Astra1,12168,1,29700,0,27
CINE+ FAMILY,Astra1,12012,1,29700,0,27
CINE+ FESTIVAL,Astra1,11856,1,29700,0,27
CINE+ FRISSON,Astra1,12012,1,29700,0,27
CLAN  TVE,Astra1,11038,1,22000,0,2
CLASSICA,Astra1,11097,1,22000,0,2
CNBC,Astra1,12382,0,27500,0,27
CNBC HD,Astra1,11377,1,22000,0,27
CNEWS,Astra1,12207,1,29700,0,27
CNN Int.,Astra1,11739,1,27500,0,2
COMEDIE+,Astra1,11934,1,29700,0,27
COMEDY CENTRAL,Astra1,11038,1,22000,0,2
CONTRATO,Astra1,10847,1,22000,0,2
COSMO,Astra1,11156,1,22000,0,2
CSTAR,Astra1,12207,1,29700,0,27
CUATRO,Astra1,10876,1,22000,0,2
Canal Algerie,Astra1,12552,1,22000,0,2
Canal Evenement Metropole,Astra1,12285,1,29700,0,27
Canal+ Action B2B,Astra1,12515,0,22000,0,36
Cartoon Network,Astra1,12382,0,27500,0,27
Cartoonito,Astra1,12304,0,27500,0,27
Channel21,Astra1,12148,0,27500,0,2
Channel21 HD,Astra1,10964,0,22000,0,27
ClipMyHorse.TV,Astra1,11186,1,22000,0,27
Comedy Central,Astra1,11973,1,27500,0,2
Comedy Central HD,Astra1,11973,1,27500,0,27
Comedy Central HD AT,Astra1,11973,1,27500,0,27
Comedy Central HD.,Astra1,11973,1,27500,0,27
Crime + Investigation,Astra1,11758,0,27500,0,27
Crime Time,Astra1,12110,0,27500,0,27
Current Time TV,Astra1,12515,0,22000,0,27
DAZN 1,Astra1,10788,1,22000,0,2
DAZN 1,Astra1,12090,1,29700,0,27
DAZN 1,Astra1,12382,0,27500,0,27
DAZN 1 BAR,Astra1,11097,1,22000,0,2
DAZN 2,Astra1,11156,1,22000,0,2
DAZN 2,Astra1,12382,0,27500,0,27
DAZN 2 BAR,Astra1,11097,1,22000,0,2
DAZN 3,Astra1,10979,1,22000,0,2
DAZN 3,Astra1,12402,1,29700,0,27
DAZN 4,Astra1,10979,1,22000,0,2
DAZN F1,Astra1,11156,1,22000,0,2
DAZN F1 HD,Astra1,10906,1,22000,0,27
DAZN LALIGA,Astra1,11038,1,22000,0,2
DAZN LALIGA 2,Astra1,10788,1,22000,0,2
DAZN LALIGA 2 HD,Astra1,10758,1,22000,0,27
DAZN LALIGA HD,Astra1,10906,1,22000,0,27
DAZN Pro League 1 FR,Astra1,12515,0,22000,0,27
DELUXE MUSIC,Astra1,12148,0,27500,0,2
DF1 HD,Astra1,11303,0,22000,0,27
DISCOVERY,Astra1,11156,1,22000,0,2
DISNEY JR,Astra1,11318,1,22000,0,2
DIVINITY,Astra1,11127,1,22000,0,2
DMAX,Astra1,12480,1,27500,0,2
DMAX Austria,Astra1,12148,0,27500,0,2
DMAX HD,Astra1,12574,0,22000,0,27
DMAX HD,Astra1,12344,0,27500,0,27
DMAX HD Austria,Astra1,12574,0,22000,0,27
DMAX HD Austria,Astra1,12344,0,27500,0,27
DMF,Astra1,12460,0,27500,0,27
DOKUSAT,Astra1,11836,0,27500,0,27
DOKUSAT SD,Astra1,12663,0,22000,0,27
DORCEL TV,Astra1,12402,1,29700,0,27
DORCEL XXX,Astra1,12402,1,29700,0,27
DYN Sport Mix,Astra1,12110,0,27500,0,27
Das Erste HD,Astra1,11494,0,22000,0,27
Daystar Espanol,Astra1,11377,1,22000,0,27
Deluxe Dance by Kontor,Astra1,12110,0,27500,0,27
Deluxe Dance by Kontor HD,Astra1,12640,1,23500,0,27
Deluxe Flashback HD,Astra1,12640,1,23500,0,27
Deluxe Music HD,Astra1,10803,0,22000,0,27
Deluxe Music HD Austria,Astra1,10803,0,22000,0,27
Deluxe Rap,Astra1,12110,0,27500,0,27
Deluxe Rap HD,Astra1,12640,1,23500,0,27
Deluxe Rock HD,Astra1,12640,1,23500,0,27
Die Neue Zeit TV,Astra1,11068,1,22000,0,27
Disney Channel,Astra1,12460,0,27500,0,2
Disney Channel HD,Astra1,10803,0,22000,0,27
Disney Channel HD Austria,Astra1,10803,0,22000,0,27
DreamWorks,Astra1,10979,1,22000,0,2
Dreamgirls24 TV temp,Astra1,12633,0,22000,0,2
ENERGY,Astra1,11127,1,22000,0,2
EQUIDIA,Astra1,11934,1,29700,0,27
EROTIKA TV - NEU!,Astra1,12633,0,22000,0,2
EURONEWS GERMAN SD PAL,Astra1,11377,1,22000,0,2
EUROSPORT 1,Astra1,11156,1,22000,0,2
EUROSPORT 1,Astra1,12168,1,29700,0,27
EUROSPORT 2,Astra1,10788,1,22000,0,2
EUROSPORT 2,Astra1,12090,1,29700,0,27
EUROSPORT1HD,Astra1,10906,1,22000,0,27
EVENEMENT SPORT UHD HDR,Astra1,12324,1,29700,0,36
EWTN katholisches TV,Astra1,12460,0,27500,0,2
EWTN katholisches TV HD,Astra1,12663,0,22000,0,27
Eroticsat24 TV temp,Astra1,12633,0,22000,0,2
Eurosport 1 Deutschland,Astra1,12226,0,27500,0,27
Eurosport 1 HD,Astra1,11112,0,22000,0,27
Eurosport 1 HD,Astra1,12344,0,27500,0,27
Eurosport 1 HD Austria,Astra1,11112,0,22000,0,27
Eurosport 1 HD Austria,Astra1,12344,0,27500,0,27
F3 ALPES,Astra1,12324,1,29700,0,27
F3 ALSACE,Astra1,11934,1,29700,0,27
F3 ALSACE,Astra1,12324,1,29700,0,27
F3 AQUITAINE,Astra1,11895,1,29700,0,27
F3 AUVERGNE,Astra1,12090,1,29700,0,27
F3 BNORMANDIE,Astra1,12728,1,23500,0,27
F3 BNORMANDIE,Astra1,12207,1,29700,0,27
F3 BOURGOGNE,Astra1,12324,1,29700,0,27
F3 BRETAGNE,Astra1,11856,1,29700,0,27
F3 CENTRE,Astra1,12728,1,23500,0,27
F3 CHAMP ARDENNE,Astra1,11934,1,29700,0,27
F3 CHAMP ARDENNE,Astra1,12324,1,29700,0,27
F3 CORSEVIASTELLA,Astra1,12012,1,29700,0,27
F3 COTE D'AZUR,Astra1,12728,1,23500,0,27
F3 FRANCHE COMTE,Astra1,12324,1,29700,0,27
F3 HNORMANDIE,Astra1,11934,1,29700,0,27
F3 HNORMANDIE,Astra1,12324,1,29700,0,27
F3 LANGUEDOCROU,Astra1,12168,1,29700,0,27
F3 LIMOUSIN,Astra1,12324,1,29700,0,27
F3 LORRAINE,Astra1,12324,1,29700,0,27
F3 MIDI PYRENEES,Astra1,11934,1,29700,0,27
F3 NORD PDC,Astra1,12402,1,29700,0,27
F3 PARIS IDF,Astra1,11934,1,29700,0,27
F3 PARIS IDF,Astra1,12324,1,29700,0,27
F3 PAYS DE LA LOIRE,Astra1,12728,1,23500,0,27
F3 PAYS DE LA LOIRE,Astra1,12207,1,29700,0,27
F3 PICARDIE,Astra1,11934,1,29700,0,27
F3 PICARDIE,Astra1,12324,1,29700,0,27
F3 POITOUCHAR,Astra1,11934,1,29700,0,27
F3 POITOUCHAR,Astra1,12324,1,29700,0,27
F3 PROV ALPES,Astra1,12090,1,29700,0,27
F3 RHONE ALPES,Astra1,12402,1,29700,0,27
FDF,Astra1,10979,1,22000,0,2
FOLX MUSIC TELEVISION,Astra1,12148,0,27500,0,27
FRANCE 2,Astra1,12168,1,29700,0,27
FRANCE 2 UHD HDR,Astra1,12324,1,29700,0,36
FRANCE 3,Astra1,12168,1,29700,0,27
FRANCE 4,Astra1,12402,1,29700,0,27
FRANCE 5,Astra1,12207,1,29700,0,27
FRANCEINFO:,Astra1,12402,1,29700,0,27
France 24 (en Francais),Astra1,11538,1,22000,0,27
France 24 (in English),Astra1,11538,1,22000,0,27
Franken Plus HD,Astra1,11553,0,22000,0,27
GAME ONE,Astra1,12090,1,29700,0,27
